name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
IndusInd Bank,3.8,53.2,Public,"Gurgaon/Gurugram,Haryana ",29,10k-50k Employees (India)
TCS,3.9,53.2,Public,"Mumbai,Maharashtra ",55,1 Lakh+ Employees (India)
Accenture,4.1,53.2,Public,Dublin ,34,1 Lakh+ Employees (India)
Cognizant,3.9,53.2,Private,Teaneck. New Jersey. ,29,1 Lakh+ Employees (India)
ICICI Bank,4.1,53.2,Public,"Mumbai,Maharashtra ",29,1 Lakh+ Employees (India)
HDFC Bank,4.0,53.2,Public,"Mumbai,Maharashtra ",29,50k-1 Lakh Employees (India)
Wipro,3.9,53.2,Public,"Bangalore/Bengaluru,Karnataka ",78,1 Lakh+ Employees (India)
Infosys,3.9,53.2,Public,"Bengaluru/Bangalore,Karnataka ",42,1 Lakh+ Employees (India)
Capgemini,3.9,53.2,Public,Paris ,56,1 Lakh+ Employees (India)
Tech Mahindra,3.8,53.2,Public,"Pune,Maharashtra ",37,50k-1 Lakh Employees (India)
Genpact,4.0,53.2,Public,"New York,New York ",26,50k-1 Lakh Employees (India)
HCLTech,3.8,53.2,Public,"Noida,Uttar Pradesh ",32,1 Lakh+ Employees (India)
Amazon,4.2,53.2,Public,"Seattle,Washington ",29,1 Lakh+ Employees (India)
Axis Bank,3.9,53.2,Public,"Mumbai,Maharashtra ",30,50k-1 Lakh Employees (India)
IBM,4.1,53.2,Public,"Armonk,New York ",112,1 Lakh+ Employees (India)
Concentrix Corpo...,4.0,53.2,Public,"Fremont,California ",40,10k-50k Employees (India)
Reliance Jio,4.0,53.2,Public,"Navi Mumbai,Maharashtra ",16,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.0,53.2,Public,"Mumbai,Maharashtra ",77,10k-50k Employees (India)
HDB Financial Se...,4.0,53.2,Private,"Ahmedabad,Gujrat ",16,1 Lakh+ Employees (India)
Vodafone Idea,4.2,53.2,Public,"Gandhinagar,Gujrat ",5,10k-50k Employees (India)
Teleperformance,3.6,53.2,Private,Paris ,45,50k-1 Lakh Employees (India)
Reliance Retail,4.2,53.2,Private,"Navi Mumbai,Maharashtra ",17,1 Lakh+ Employees (India)
Kotak Mahindra B...,3.9,53.2,Public,"Mumbai,Maharashtra ",20,10k-50k Employees (India)
Deloitte,4.1,53.2,Private,"New York,New York ",178,10k-50k Employees (India)
Reliance Industr...,4.1,53.2,Public,"Navi Mumbai,Maharashtra ",50,10k-50k Employees (India)
BYJU'S,3.3,53.2,Private,"Bangalore,Karnataka ",12,1k-5k Employees (India)
Bharti Airtel,4.1,53.2,Public,"Gurgaon/Gurugram,Haryana ",28,10k-50k Employees (India)
Tata Motors,4.2,53.2,Public,"Pune,Maharashtra ",78,10k-50k Employees (India)
Flipkart,4.2,53.2,Public,"Bangalore,Karnataka ",16,10k-50k Employees (India)
WNS,3.7,53.2,Private,"Mumbai,Maharashtra ",27,10k-50k Employees (India)
IndusInd Bank,3.8,53.2,Public,"Gurgaon/Gurugram,Haryana ",29,10k-50k Employees (India)
TCS,3.9,53.2,Public,"Mumbai,Maharashtra ",55,1 Lakh+ Employees (India)
Accenture,4.1,53.2,Public,Dublin ,34,1 Lakh+ Employees (India)
Cognizant,3.9,53.2,Private,Teaneck. New Jersey. ,29,1 Lakh+ Employees (India)
ICICI Bank,4.1,53.2,Public,"Mumbai,Maharashtra ",29,1 Lakh+ Employees (India)
HDFC Bank,4.0,53.2,Public,"Mumbai,Maharashtra ",29,50k-1 Lakh Employees (India)
Wipro,3.9,53.2,Public,"Bangalore/Bengaluru,Karnataka ",78,1 Lakh+ Employees (India)
Infosys,3.9,53.2,Public,"Bengaluru/Bangalore,Karnataka ",42,1 Lakh+ Employees (India)
Capgemini,3.9,53.2,Public,Paris ,56,1 Lakh+ Employees (India)
Tech Mahindra,3.8,53.2,Public,"Pune,Maharashtra ",37,50k-1 Lakh Employees (India)
Genpact,4.0,53.2,Public,"New York,New York ",26,50k-1 Lakh Employees (India)
HCLTech,3.8,53.2,Public,"Noida,Uttar Pradesh ",32,1 Lakh+ Employees (India)
Amazon,4.2,53.2,Public,"Seattle,Washington ",29,1 Lakh+ Employees (India)
Axis Bank,3.9,53.2,Public,"Mumbai,Maharashtra ",30,50k-1 Lakh Employees (India)
IBM,4.1,53.2,Public,"Armonk,New York ",112,1 Lakh+ Employees (India)
Concentrix Corpo...,4.0,53.2,Public,"Fremont,California ",40,10k-50k Employees (India)
Reliance Jio,4.0,53.2,Public,"Navi Mumbai,Maharashtra ",16,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.0,53.2,Public,"Mumbai,Maharashtra ",77,10k-50k Employees (India)
HDB Financial Se...,4.0,53.2,Private,"Ahmedabad,Gujrat ",16,1 Lakh+ Employees (India)
Vodafone Idea,4.2,53.2,Public,"Gandhinagar,Gujrat ",5,10k-50k Employees (India)
Teleperformance,3.6,53.2,Private,Paris ,45,50k-1 Lakh Employees (India)
Reliance Retail,4.2,53.2,Private,"Navi Mumbai,Maharashtra ",17,1 Lakh+ Employees (India)
Kotak Mahindra B...,3.9,53.2,Public,"Mumbai,Maharashtra ",20,10k-50k Employees (India)
Deloitte,4.1,53.2,Private,"New York,New York ",178,10k-50k Employees (India)
Reliance Industr...,4.1,53.2,Public,"Navi Mumbai,Maharashtra ",50,10k-50k Employees (India)
BYJU'S,3.3,53.2,Private,"Bangalore,Karnataka ",12,1k-5k Employees (India)
Bharti Airtel,4.1,53.2,Public,"Gurgaon/Gurugram,Haryana ",28,10k-50k Employees (India)
Tata Motors,4.2,53.2,Public,"Pune,Maharashtra ",78,10k-50k Employees (India)
Flipkart,4.2,53.2,Public,"Bangalore,Karnataka ",16,10k-50k Employees (India)
WNS,3.7,53.2,Private,"Mumbai,Maharashtra ",27,10k-50k Employees (India)
IndusInd Bank,3.8,53.2,Public,"Gurgaon/Gurugram,Haryana ",29,10k-50k Employees (India)
TCS,3.9,53.2,Public,"Mumbai,Maharashtra ",55,1 Lakh+ Employees (India)
Accenture,4.1,53.2,Public,Dublin ,34,1 Lakh+ Employees (India)
Cognizant,3.9,53.2,Private,Teaneck. New Jersey. ,29,1 Lakh+ Employees (India)
ICICI Bank,4.1,53.2,Public,"Mumbai,Maharashtra ",29,1 Lakh+ Employees (India)
HDFC Bank,4.0,53.2,Public,"Mumbai,Maharashtra ",29,50k-1 Lakh Employees (India)
Wipro,3.9,53.2,Public,"Bangalore/Bengaluru,Karnataka ",78,1 Lakh+ Employees (India)
Infosys,3.9,53.2,Public,"Bengaluru/Bangalore,Karnataka ",42,1 Lakh+ Employees (India)
Capgemini,3.9,53.2,Public,Paris ,56,1 Lakh+ Employees (India)
Tech Mahindra,3.8,53.2,Public,"Pune,Maharashtra ",37,50k-1 Lakh Employees (India)
Genpact,4.0,53.2,Public,"New York,New York ",26,50k-1 Lakh Employees (India)
HCLTech,3.8,53.2,Public,"Noida,Uttar Pradesh ",32,1 Lakh+ Employees (India)
Amazon,4.2,53.2,Public,"Seattle,Washington ",29,1 Lakh+ Employees (India)
Axis Bank,3.9,53.2,Public,"Mumbai,Maharashtra ",30,50k-1 Lakh Employees (India)
IBM,4.1,53.2,Public,"Armonk,New York ",112,1 Lakh+ Employees (India)
Concentrix Corpo...,4.0,53.2,Public,"Fremont,California ",40,10k-50k Employees (India)
Reliance Jio,4.0,53.2,Public,"Navi Mumbai,Maharashtra ",16,50k-1 Lakh Employees (India)
Larsen & Toubro ...,4.0,53.2,Public,"Mumbai,Maharashtra ",77,10k-50k Employees (India)
HDB Financial Se...,4.0,53.2,Private,"Ahmedabad,Gujrat ",16,1 Lakh+ Employees (India)
Vodafone Idea,4.2,53.2,Public,"Gandhinagar,Gujrat ",5,10k-50k Employees (India)
Teleperformance,3.6,53.2,Private,Paris ,45,50k-1 Lakh Employees (India)
Reliance Retail,4.2,53.2,Private,"Navi Mumbai,Maharashtra ",17,1 Lakh+ Employees (India)
Kotak Mahindra B...,3.9,53.2,Public,"Mumbai,Maharashtra ",20,10k-50k Employees (India)
Deloitte,4.1,53.2,Private,"New York,New York ",178,10k-50k Employees (India)
Reliance Industr...,4.1,53.2,Public,"Navi Mumbai,Maharashtra ",50,10k-50k Employees (India)
BYJU'S,3.3,53.2,Private,"Bangalore,Karnataka ",12,1k-5k Employees (India)
Bharti Airtel,4.1,53.2,Public,"Gurgaon/Gurugram,Haryana ",28,10k-50k Employees (India)
Tata Motors,4.2,53.2,Public,"Pune,Maharashtra ",78,10k-50k Employees (India)
Flipkart,4.2,53.2,Public,"Bangalore,Karnataka ",16,10k-50k Employees (India)
WNS,3.7,53.2,Private,"Mumbai,Maharashtra ",27,10k-50k Employees (India)
IndusInd Bank,3.8,53.2,Public,"Gurgaon/Gurugram,Haryana ",29,10k-50k Employees (India)
